filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
img_1720488737_0.jpg,34975,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[601,600,602,616,618,617,612,609],""all_points_y"":[424,428,430,430,429,425,423,424]}","{}"
img_1720488768_0.jpg,32788,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[456,455,465,467],""all_points_y"":[339,347,347,341]}","{}"
img_1720488771_0.jpg,35834,"{}",2,0,"{""name"":""polygon"",""all_points_x"":[625,597,600,615,639,637],""all_points_y"":[367,381,389,389,378,367]}","{}"
img_1720488771_0.jpg,35834,"{}",2,1,"{""name"":""polygon"",""all_points_x"":[411,396,396,439,442],""all_points_y"":[309,339,347,347,319]}","{}"
img_1720488774_0.jpg,37228,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[566,564,569,638,637],""all_points_y"":[331,374,387,402,333]}","{}"
img_1720488777_0.jpg,35854,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[561,523,521,563,635,637,639],""all_points_y"":[338,359,383,399,411,410,357]}","{}"
img_1720488780_0.jpg,38550,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[355,289,279,314,381,388],""all_points_y"":[257,285,329,333,306,251]}","{}"
img_1720488783_0.jpg,41142,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[637,431,415,417,366,274,280,370,377,433,514,638],""all_points_y"":[187,251,266,305,303,337,347,371,354,351,361,369]}","{}"
img_1720488786_0.jpg,42648,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[596,587,588,617,619],""all_points_y"":[447,448,457,459,451]}","{}"
img_1720488795_0.jpg,37880,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[274,275,295,291,291],""all_points_y"":[318,333,333,322,317]}","{}"
img_1720488798_0.jpg,40114,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[332,335,360,355],""all_points_y"":[336,363,365,335]}","{}"
img_1720488801_0.jpg,45000,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[473,477,535,543],""all_points_y"":[364,422,428,365]}","{}"
img_1720488810_0.jpg,32367,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[534,554,551,526,528],""all_points_y"":[325,330,365,365,328]}","{}"
img_1720488813_0.jpg,33196,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[299,279,278,252,248,236,233,249,256,299,299,375,377,377,348,345,327,324],""all_points_y"":[265,265,290,283,284,314,363,367,371,370,352,353,343,286,285,296,293,267]}","{}"
img_1720488826_0.jpg,34453,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[309,309,321,322],""all_points_y"":[317,331,331,319]}","{}"
img_1720488829_0.jpg,39171,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[184,183,201,201,183],""all_points_y"":[317,328,329,314,314]}","{}"
img_1720488832_0.jpg,42419,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[205,205,228,231,205],""all_points_y"":[314,329,329,311,311]}","{}"
img_1720488835_0.jpg,41223,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[256,260,284,289],""all_points_y"":[326,347,350,325]}","{}"
